state,theta,T_us,n,parity_abs,omega_rad_s,Gamma_raw
PRODUCT,0.7853981633974483,4.5,1,0.765625,698131.7007977318,59347.28561089894
GHZ,0.7853981633974483,4.5,2,0.84765625,1396263.4015954635,36728.90909757843
PRODUCT,0.7853981633974483,4.5,2,0.771484375,1396263.4015954635,57653.080030752426
GHZ,0.7853981633974483,4.5,3,0.869140625,2094395.1023931955,31166.742860726124
PRODUCT,0.7853981633974483,4.5,3,0.7529296875,2094395.1023931955,63062.98489691636
GHZ,0.7853981633974483,4.5,4,0.853515625,2792526.803190927,35198.09554309281
PRODUCT,0.7853981633974483,4.5,4,0.7666015625,2792526.803190927,59064.01951489881
GHZ,0.7853981633974483,4.5,5,0.830078125,3490658.503988659,41385.65691446466
PRODUCT,0.7853981633974483,4.5,5,0.736328125,3490658.503988659,68017.65279811044
GHZ,0.7853981633974483,4.5,6,0.8544921875,4188790.204786391,34943.98205374193
PRODUCT,0.7853981633974483,4.5,6,0.7685546875,4188790.204786391,58498.56826267775
GHZ,0.7853981633974483,4.5,8,0.8505859375,5585053.606381854,35962.184165988954
PRODUCT,0.7853981633974483,4.5,8,0.7724609375,5585053.606381854,57371.963962622045
GHZ,0.7853981633974483,4.5,10,0.85546875,6981317.007977318,34690.1588140137
PRODUCT,0.7853981633974483,4.5,10,0.798828125,6981317.007977318,49913.215332601336
GHZ,0.5235987755982988,2.5,1,0.7451171875,1256637.0614359174,117685.50972599845
PRODUCT,0.5235987755982988,2.5,1,0.474609375,1256637.0614359174,298105.2726795837
GHZ,0.5235987755982988,2.5,2,0.7470703125,2513274.122871835,116638.3887091669
PRODUCT,0.5235987755982988,2.5,2,0.4384765625,2513274.122871835,329779.56714287953
GHZ,0.5235987755982988,2.5,3,0.7392578125,3769911.184307752,120843.42086480174
PRODUCT,0.5235987755982988,2.5,3,0.4814453125,3769911.184307752,292385.05262270523
GHZ,0.5235987755982988,2.5,4,0.7529296875,5026548.24574367,113513.37281444944
PRODUCT,0.5235987755982988,2.5,4,0.4677734375,5026548.24574367,303908.48327541514
GHZ,0.5235987755982988,2.5,5,0.763671875,6283185.307179587,107846.82602165682
PRODUCT,0.5235987755982988,2.5,5,0.48828125,6283185.307179587,286745.4828709045
GHZ,0.5235987755982988,2.5,6,0.728515625,7539822.368615504,126698.48215827692
PRODUCT,0.5235987755982988,2.5,6,0.466796875,7539822.368615504,304744.4292431989
GHZ,0.5235987755982988,2.5,8,0.7626953125,10053096.49148734,108358.66230390688
PRODUCT,0.5235987755982988,2.5,8,0.4619140625,10053096.49148734,308950.5668430081
GHZ,0.5235987755982988,2.5,10,0.728515625,12566370.614359174,126698.48215827692
PRODUCT,0.5235987755982988,2.5,10,0.42578125,12566370.614359174,341531.8249001675
GHZ,0.5235987755982988,3.5,1,0.712890625,897597.9010256552,96693.50613057608
PRODUCT,0.5235987755982988,3.5,1,0.4677734375,897597.9010256552,217077.48805386797
GHZ,0.5235987755982988,3.5,2,0.76171875,1795195.8020513104,77765.11026166161
PRODUCT,0.5235987755982988,3.5,2,0.4228515625,1795195.8020513104,245924.02217056096
GHZ,0.5235987755982988,3.5,3,0.7431640625,2692793.7030769656,84810.98506793349
PRODUCT,0.5235987755982988,3.5,3,0.4560546875,2692793.7030769656,224326.4422658731
GHZ,0.5235987755982988,3.5,4,0.724609375,3590391.604102621,92035.01783773504
PRODUCT,0.5235987755982988,3.5,4,0.390625,3590391.604102621,268573.5024261346
GHZ,0.5235987755982988,3.5,5,0.73046875,4487989.505128276,89733.9507499931
PRODUCT,0.5235987755982988,3.5,5,0.439453125,4487989.505128276,234921.2065243108
GHZ,0.5235987755982988,3.5,6,0.7490234375,5385587.406153931,82567.14406634198
PRODUCT,0.5235987755982988,3.5,6,0.41015625,5385587.406153931,254633.45552058265
GHZ,0.5235987755982988,3.5,8,0.7412109375,7180783.208205242,85562.86520109234
PRODUCT,0.5235987755982988,3.5,8,0.40625,7180783.208205242,257367.58438233996
